Brand,Model,Type,Screen Size,Display Technology,Condition,name,price,Display Resolution,TV Operation System,Exchange Possible,Refresh Rate,Display Type,Projector Resolution,Image Brightness,Projector Features
Nasco,nas-j32fb,TVs,32 inches,LED,Brand New,Powerful Nasco 32inch (Nas-J32fb) Digital Satellite Led Tv.,"GH₵ 1,149",,,,,,,,
Bruhm,BTF43SV,TVs,43 inches,LED,Brand New,"Bruhm Smart Tv 43""( With Netflix)","GH₵ 2,849",,,,,,,,
TCL,65p635,TVs,65 inches,LED,Brand New,Gracefully Take >> TCL 65inch Android Google TV (65P635),"GH₵ 7,299",,,,,,,,
LG,,TVs,,,Brand New,"True Immersion Quad Core Processor; LG 50UP78 50"" UHD Tv","GH₵ 6,500",,,,,,,,
LG,NANO75,TVs,55 inches,LED,Brand New,Easy Nanocell LG Tv Smart NANO75 55” Plus DSTV,"GH₵ 8,499",2160p (4K),,,120 Hz,,,,
Samsung,,TVs,,,Brand New,Sons of Great 32 Inches Samsung Led,GH₵ 949,,,,,,,,
LG,,TVs,,,Brand New,(2020 New)Super Powerful LG Oled TV 55cx,"GH₵ 10,550",,,,,,,,
Nasco,,TVs,75 inches,LED,Brand New,Well Executed Nasco 75” TV,"GH₵ 7,599",2160p (4K),,,,,,,
Bruhm,BFT32SN,TVs,32 inches,LED,Brand New,"Bruhm Tv 32"" Digital Satellite","GH₵ 1,199",1080p (FullHD),,,,,,,
Itel,s3250,TVs,32 inches,LED,Brand New,Newest Itel 32inch Smart Android Tv,"GH₵ 1,599",,,,,,,,
TCL,65P635,TVs,65 inches,LED,Brand New,"Edgeless Frame TCL 65P635 65 Inch HDR Google Tv,Black","GH₵ 7,299",,,,,,,,
TCL,43P635,TVs,43 inches,LED,Brand New,TCL 43 Inch Smart UHD TV With Bluetooth Connectivity,"GH₵ 3,990",2160p (4K),Android TV,No,50 Hz,,,,
Samsung,Cu8000,TVs,75 inches,LED,Brand New,Awesome Samsung 75inch Smart Uhd Crystal Led Tv 75CU8000.,"GH₵ 18,999",,,,,,,,
LG,,TVs,,,Brand New,LG 43inches LED Tv(Lp50),"GH₵ 3,599",,,,,,,,
LG,,TVs,55 inches,LED,Brand New,LG NANO79 55 Inch 4K Nanocell TV With AI Thinq (2020),"GH₵ 6,300",,,,,,,,
TCL,32S5400A,TVs,32 inches,LED,Brand New,Up Beat TCL 32inch Android Google Tv,"GH₵ 1,999",1080p (FullHD),Google TV,No,,,,,
TCL,55c645,TVs,55 inches,LED,Brand New,Art Designed TCL TCL C645 Qled Smart TV,"GH₵ 6,999",,,,,,,,
Sony,75X8000H,TVs,75 inches,LED,Brand New,High Quality Sony BRAVIA Satelite Tv 75X8000H.,"GH₵ 22,999",,,,,,,,
Other,asano-32,TVs,32 inches,LED,Brand New,New Asano 32inch Digital Satellite Led Tv,"GH₵ 1,099",,,,,,,,
LG,Up75,TVs,70 inches,LED,Brand New,"LG (70 Inch) Ultra HD (4K) LED Smart Tv,","GH₵ 19,000",2160p (4K),,,240 Hz,,,,
Samsung,,TVs,60 inches,LED,Brand New,Whole View//60 Samsung Crystal UHD Smart 4k Led Display,"GH₵ 6,699",2160p (4K),,,,,,,
BANANA,b58,TVs,58 inches,LED,Brand New,Banana Uhd Smart Ultra Slim Bluetooth Android LED TV 2023,"GH₵ 6,500",2160p (4K),Android TV,Yes,120 Hz,Glossy,,,
Syinix,A20,TVs,43 inches,LED,Brand New,"Slim Android Tv - Synix 43""","GH₵ 3,699",,Android TV,,,,,,
Other,ds90,Other,,,Brand New,"Desktop Monitor Arm / Clamp on Table Desk 17"" -32""","GH₵ 1,000",,,,,,,,
LG,,TVs,55 inches,LED,Brand New,LG NANO79 55 Inch 4K Nanocell TV With AI Thinq (2020),"GH₵ 6,300",,,,,,,,
Other,SWHS43W,TVs,43 inches,LED,Brand New,Perfect Sunny Walk 43 Inch Smart Android,"GH₵ 2,699",,,,,,,,
